"State","registeredPerc","totalRegistered"
"Maine","0.7710","828000"
"Mississippi","0.7290","1599000"
"Michigan","0.7120","5453000"
"North Dakota","0.7090","397000"
"Kentucky","0.7090","2389000"
"Minnesota","0.7080","3000000"
"Missouri","0.7060","3299000"
"Wisconsin","0.7050","3129000"
"Montana","0.7040","579000"
"Iowa","0.6980","1658000"
"Oregon","0.6910","2274000"
"Ohio","0.6830","6062000"
"Vermont","0.6810","343000"
"Kansas","0.6740","1449000"
"New Hampshire","0.6720","726000"
"Washington","0.6670","3852000"
"Alabama","0.6640","2490000"
"Maryland","0.6630","3095000"
"South Dakota","0.6620","429000"
"Louisiana","0.6540","2263000"
"Pennsylvania","0.6520","6469000"
"North Carolina","0.6520","5160000"
"Virginia","0.6510","4159000"
"Alaska","0.6440","337000"
"Utah","0.6420","1443000"
"Rhode Island","0.6420","532000"
"West Virginia","0.6340","892000"
"Indiana","0.6250","3131000"
"Wyoming","0.6240","268000"
"Illinois","0.6240","6068000"
"Delaware","0.6240","472000"
"South Carolina","0.6210","2430000"
"Oklahoma","0.6200","1777000"
"Nebraska","0.6190","883000"
"Georgia","0.6170","4840000"
"New Jersey","0.6130","4297000"
"Massachusetts","0.6130","3345000"
"Tennessee","0.6120","3183000"
"Connecticut","0.6090","1726000"
"Colorado","0.6080","2645000"
"Arizona","0.6080","3262000"
"New Mexico","0.5810","916000"
"Idaho","0.5720","743000"
"Florida","0.5600","9435000"
"Arkansas","0.5580","1262000"
"New York","0.5530","8553000"
"Texas","0.5520","11634000"
"Nevada","0.5500","1277000"
"California","0.5190","15690000"
"Hawaii","0.4950","523000"
